"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat May 07 16:17:37 CST 2022","Sat May 07 16:17:58 CST 2022","21006","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:39:56 CST 2022","Sat May 07 16:39:57 CST 2022","1128","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:15:47 CST 2022","Sat May 07 16:15:48 CST 2022","1095","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:38:04 CST 2022","Sat May 07 16:38:05 CST 2022","1115","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:39:53 CST 2022","Sat May 07 16:39:54 CST 2022","1131","script","test_jinchang","TestApi","","","入场接口用例",""
"broken","Sat May 07 16:20:25 CST 2022","Sat May 07 16:20:46 CST 2022","21006","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:10:58 CST 2022","Sat May 07 16:10:59 CST 2022","1177","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:23:27 CST 2022","Sat May 07 16:23:28 CST 2022","1081","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:37:40 CST 2022","Sat May 07 16:37:42 CST 2022","1134","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:14:51 CST 2022","Sat May 07 16:14:53 CST 2022","1125","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:24:17 CST 2022","Sat May 07 16:24:18 CST 2022","1133","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:21:28 CST 2022","Sat May 07 16:21:29 CST 2022","1123","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:42:02 CST 2022","Sat May 07 16:42:03 CST 2022","1128","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:19:53 CST 2022","Sat May 07 16:19:54 CST 2022","1116","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:18:21 CST 2022","Sat May 07 16:18:23 CST 2022","1117","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:21:29 CST 2022","Sat May 07 16:21:30 CST 2022","1135","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:39:59 CST 2022","Sat May 07 16:40:00 CST 2022","1124","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:13:03 CST 2022","Sat May 07 16:13:04 CST 2022","1128","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:33:36 CST 2022","Sat May 07 16:33:37 CST 2022","1119","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:14:24 CST 2022","Sat May 07 16:14:25 CST 2022","1147","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:11:29 CST 2022","Sat May 07 16:11:31 CST 2022","1128","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:27:59 CST 2022","Sat May 07 16:28:00 CST 2022","1129","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:34:00 CST 2022","Sat May 07 16:34:01 CST 2022","1129","script","test_jinchang","TestApi","","","入场接口用例",""
"broken","Sat May 07 16:30:56 CST 2022","Sat May 07 16:31:17 CST 2022","21005","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:28:32 CST 2022","Sat May 07 16:28:33 CST 2022","1117","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:27:41 CST 2022","Sat May 07 16:27:42 CST 2022","1125","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:26:04 CST 2022","Sat May 07 16:26:05 CST 2022","1113","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:17:32 CST 2022","Sat May 07 16:17:34 CST 2022","1131","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:22:21 CST 2022","Sat May 07 16:22:22 CST 2022","1113","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:30:12 CST 2022","Sat May 07 16:30:14 CST 2022","2132","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:21:07 CST 2022","Sat May 07 16:21:08 CST 2022","1123","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:15:42 CST 2022","Sat May 07 16:15:43 CST 2022","1141","script","test_jinchang","TestApi","","","入场接口用例",""
"broken","Sat May 07 16:11:06 CST 2022","Sat May 07 16:11:27 CST 2022","21009","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:19:00 CST 2022","Sat May 07 16:19:01 CST 2022","1123","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:22:54 CST 2022","Sat May 07 16:22:55 CST 2022","1119","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:19:01 CST 2022","Sat May 07 16:19:02 CST 2022","1112","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:30:11 CST 2022","Sat May 07 16:30:12 CST 2022","1130","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:18:33 CST 2022","Sat May 07 16:18:34 CST 2022","1068","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:41:04 CST 2022","Sat May 07 16:41:05 CST 2022","1118","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:24:55 CST 2022","Sat May 07 16:24:57 CST 2022","1130","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:33:35 CST 2022","Sat May 07 16:33:36 CST 2022","1125","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:19:04 CST 2022","Sat May 07 16:19:05 CST 2022","1138","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:38:59 CST 2022","Sat May 07 16:39:01 CST 2022","2132","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:40:16 CST 2022","Sat May 07 16:40:18 CST 2022","2130","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:18:43 CST 2022","Sat May 07 16:18:44 CST 2022","1120","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:27:58 CST 2022","Sat May 07 16:27:59 CST 2022","1130","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:28:50 CST 2022","Sat May 07 16:28:51 CST 2022","1121","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:18:53 CST 2022","Sat May 07 16:18:55 CST 2022","1117","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:27:40 CST 2022","Sat May 07 16:27:41 CST 2022","1115","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:25:06 CST 2022","Sat May 07 16:25:07 CST 2022","1118","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:19:31 CST 2022","Sat May 07 16:19:32 CST 2022","1124","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:29:31 CST 2022","Sat May 07 16:29:32 CST 2022","1119","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:18:41 CST 2022","Sat May 07 16:18:42 CST 2022","1128","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:40:04 CST 2022","Sat May 07 16:40:05 CST 2022","1125","script","test_jinchang","TestApi","","","入场接口用例",""
"passed","Sat May 07 16:38:11 CST 2022","Sat May 07 16:38:12 CST 2022","1135","script","test_jinchang","TestApi","","","入场接口用例",""
